,SampleID,Year,Sampling.Order,Season_Tucker2021,Month,chla.ug.per.L,Phosphate,Silicate,NitrateNitrite,Ammonia,DIN,DIN_DIP,Nitrate_Silicate,DIN_Silicate,Site,Time,SW.Temperature.at.site,Salinity,DO,Depth,pH,Date1,Date2,Day.of.year,Vol.filtered.L,X19But,X19Hex,Allo,beta.Car,alph.Car,Chla,Chlb,Chlc1.2,Chlc.3,Cphlid,Diadino,Diato,Fuco,Lut,Neo,Peri,Prasino,Viola,Zea,Dva,Mva,Tchla,X19But.Rel,X19Hex.Rel,Allo.Rel,beta.Car.Rel,alph.Car.Rel,Chla.Rel,Chlb.Rel,Chlc1.2.Rel,Chlc.3.Rel,Cphlid.Rel,Diadino.Rel,Diato.Rel,Fuco.Rel,Lut.Rel,Neo.Rel,Peri.Rel,Prasino.Rel,Viola.Rel,Zea.Rel,Dva.Rel,Mva.Rel,Project,datetime,decimal_dat,Month_abb,PRO.mL2,SYN.mL2,PEUK.mL2,HBACT.mL2,RunFCM,Spatial,latitude,longitude,lln_micro,llp_micro
NBMa0427,NBMa0427,2019,17,Winter,March,1,NA,NA,NA,NA,NA,NA,NA,NA,NB,9:44:00,23.66,34.92,-72,1.713,7.88,3/21/19,2019-03-21,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,3/21/19,2019.216438,Mar,2022,52182,7865,1004889,Run_Jan2022,Coastal,21.49048333,-157.8332833,NA,NA
NBMa0626,NBMa0626,2020,26,Winter,March,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NB,11:09:00,24.57,32.91,-,1.877,7.89,3/20/20,2020-03-20,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,3/20/20,2020.215847,Mar,16400,125005,19604,782085,Run2,Coastal,21.49048333,-157.8332833,NA,NA
NBMy0185,NBMy0185,2018,8,Spring,May,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NB,8:33:00,24.25,34.3,107.7,2.16,8.05,5/1/18,2018-05-01,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,5/1/18,2018.328767,May,7432,148116,16282,937173,Run_Aug2022,Coastal,21.49048333,-157.8332833,NA,NA
NBMy0486,NBMy0486,2019,19,Spring,May,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NB,9:26:00,27.11,36.45,-99.2,2.02,7.71,5/21/19,2019-05-21,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,5/21/19,2019.383562,May,7524,265925,12960,1319976,Run_Aug2022,Coastal,21.49048333,-157.8332833,NA,NA
NBMy0646,NBMy0646,2020,27,Spring,May,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NB,11:13:00,26.7,33.26,-,1.966,7.64,5/14/20,2020-05-14,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,5/14/20,2020.36612,May,1156,148759,10912,1211804,Run2,Coastal,21.49048333,-157.8332833,NA,NA
NBMy0816,NBMy0816,2021,35,Spring,May,0.8,0.07,11.97,0.11,0.04,0.15,2.14,0.01,0.01,NB,10:35,25.97,34.54,-,2.1054,7.86,5/24/21,2021-05-24,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,5/24/21,2021.391781,May,2180,244496,18961,1205239,Run2,Coastal,21.49048333,-157.8332833,NA,NA
NBNo0083,NBNo0083,2017,3,Fall,November,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NB,10:32:00,26.6,34.24,105.6,1.89,8.02,11/1/17,2017-11-01,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,11/1/17,2017.832877,Nov,2666,38500,14733,676119,Run_Aug2022,Transition,21.49048333,-157.8332833,NA,NA
NBNo0331,NBNo0331,2018,14,Fall,November,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NB,11:26:00,27.09,34.17,-99.9,1.987,7.73,11/9/18,2018-11-09,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,11/9/18,2018.854795,Nov,0,122235,7143,1056598,Run_Aug2022,Coastal,21.49048333,-157.8332833,NA,NA
NBNo0726,NBNo0726,2020,31,Fall,November,1,NA,NA,NA,NA,NA,NA,NA,NA,NB,11:07,25.88,35.19,-,2.175,7.96,11/16/20,2020-11-16,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,11/16/20,2020.874317,Nov,2403,61505,13052,795491,Run2,Coastal,21.49048333,-157.8332833,NA,NA
NBOc0299,NBOc0299,2018,13,Fall,October,1.5,0.06,13.25,0.73,NA,NA,NA,0.06,NA,NB,10:44:00,27.47,34.77,-99.9,2.51,7.95,10/11/18,2018-10-11,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,10/11/18,2018.775342,Oct,1733,152948,9730,842198,Run_Aug2022,Coastal,21.49048333,-157.8332833,NA,NA
NBOc0566,NBOc0566,2019,23,Fall,October,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NB,13:26:00,27.89,33.21,-,2.119,8.02,10/7/19,2019-10-07,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,10/7/19,2019.764384,Oct,1287,144531,19670,930818,Run2,Transition,21.49048333,-157.8332833,NA,NA
NBSe0063,NBSe0063,2017,2,Summer,September,2.1,0.06,10.95,1.03,0.08,1.11,18.5,0.09,0.1,NB,11:27:00,27.22,34.8,120.6,1.513,7.95,9/20/17,2017-09-20,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,9/20/17,2017.717808,Sep,0,42478,12133,682868,Run_Aug2022,Transition,21.49048333,-157.8332833,NA,NA
NBSe0273,NBSe0273,2018,12,Summer,September,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NB,11:09:00,27.82,32.68,137,1.99,7.95,9/11/18,2018-09-11,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,9/11/18,2018.693151,Sep,0,269904,20497,1371304,Run_Aug2022,Coastal,21.49048333,-157.8332833,NA,NA
NBSe0706,NBSe0706,2020,30,Summer,September,1.2,0.19,11.59,0.17,NA,NA,NA,0.01,NA,NB,10:27:00,27.79,35.21,-,1.82,7.74,9/22/20,2020-09-22,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,9/22/20,2020.724044,Sep,0,222082,26196,1486054,Run2,Coastal,21.49048333,-157.8332833,NA,NA
NR330_R2,NR330_R2,2018,14,Fall,November,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NR2,11:10:00,26.7,35.74,-99.9,1.89,7.46,11/9/18,2018-11-09,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,11/9/18,2018.854795,Nov,5292,209476,19552,1126217,Run_Aug2022,Coastal,21.5147,-157.8117167,NA,NA
NRAp0458,NRAp0458,2019,18,Spring,April,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NR2,12:08:00,25.16,36.94,-99.9,2.15,7.84,4/22/19,2019-04-22,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,4/22/19,2019.30411,Apr,1865,61019,9940,959469,Run_Aug2022,Transition,21.5147,-157.8117167,NA,NA
NRAp0785,NRAp0785,2021,34,Spring,April,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NR2,10:41,24.39,34.92,-,2.072,7.94,4/16/21,2021-04-16,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,4/16/21,2021.287671,Apr,9533,38565,5646,932354,Run2,Coastal,21.5147,-157.8117167,NA,NA
NRAu0042,NRAu0042,2017,1,Summer,August,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NR2,11:07:00,27.91,35.08,131.6,2.019,7.94,8/23/17,2017-08-23,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/23/17,2017.641096,Aug,0,79205,6158,1008092,Run_Aug2022,Coastal,21.5147,-157.8117167,NA,NA
NRAu0525,NRAu0525,2019,21,Summer,August,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NR2,10:33:00,28.43,33.26,-48.2,2.071,8.07,8/13/19,2019-08-13,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/13/19,2019.613699,Aug,2193,142561,14181,975003,Run2,Transition,21.5147,-157.8117167,NA,NA
NRAu0545,NRAu0545,2019,22,Summer,August,1,NA,NA,NA,NA,NA,NA,NA,NA,NR2,10:10:00,28.41,32.95,-64,1.909,8.08,8/29/19,2019-08-29,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/29/19,2019.657534,Aug,9008,187206,12041,1308604,Run2,Transition,21.5147,-157.8117167,NA,NA
NRAu0685,NRAu0685,2020,29,Summer,August,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NR2,10:04:00,27.9,33.66,-,1.899,7.95,8/28/20,2020-08-28,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/28/20,2020.655738,Aug,28756,102499,19013,1294331,Run2,Transition,21.5147,-157.8117167,NA,NA
NRDe0102,NRDe0102,2017,4,Fall,December,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NR2,8:37:00,24.9,35.5,86.4,2.2,8.18,12/8/17,2017-12-08,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,12/8/17,2017.934247,Dec,39747,2206,972,343844,Run_Aug2022,Transition,21.5147,-157.8117167,NA,NA
NRDe0585,NRDe0585,2019,24,Fall,December,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NR2,9:58:00,26.6,33.68,-,1.991,8.07,12/9/19,2019-12-09,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,12/9/19,2019.936986,Dec,224458,7406,2508,592200,Run2,Offshore,21.5147,-157.8117167,NA,NA
NRDe0745,NRDe0745,2020,32,Fall,December,0.5,0.11,1.24,0.3,NA,NA,NA,0.24,NA,NR2,10:08,25.6,35.19,-,2.064,7.89,12/23/20,2020-12-23,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,12/23/20,2020.97541,Dec,122852,19657,6211,565203,Run2,Transition,21.5147,-157.8117167,NA,NA
NRFe0144,NRFe0144,2018,6,Winter,February,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NR2,9:46:00,23.34,35.65,87.3,2.13,8.12,2/21/18,2018-02-21,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,2/21/18,2018.139726,Feb,81989,21535,8128,743611,Run_Jan2022,Transition,21.5147,-157.8117167,NA,NA
NRFe0394,NRFe0394,2019,16,Winter,February,1.3,0.07,1.62,0.16,NA,NA,NA,0.1,NA,NR2,10:55:00,23.48,34.81,-80,2.243,7.92,2/25/19,2019-02-25,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,2/25/19,2019.150685,Feb,31658,19539,6881,954873,Run_Aug2022,Coastal,21.5147,-157.8117167,NA,NA
NRFe0765,NRFe0765,2021,33,Winter,February,0.2,0.14,1.23,0.25,NA,NA,NA,0.2,NA,NR2,10:14,24.42,35.05,-,1.95,8,2/12/21,2021-02-12,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,2/12/21,2021.115068,Feb,102683,4438,2508,395855,Run2,Offshore,21.5147,-157.8117167,NA,NA
NRJa0124,NRJa0124,2018,5,Winter,January,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NR2,15:03:00,24.84,34.35,95.4,1.8,8.17,1/29/18,2018-01-29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,1/29/18,2018.076712,Jan,8286,7235,2127,461627,Run_Aug2022,Transition,21.5147,-157.8117167,NA,NA
NRJa0362,NRJa0362,2019,15,Winter,January,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NR2,0:00:00,24.51,35.3,-99.9,2.028,8.04,1/11/19,2019-01-11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,1/11/19,2019.027397,Jan,8391,8417,2652,623937,Run_Jan2022,Transition,21.5147,-157.8117167,NA,NA
NRJa0605,NRJa0605,2020,25,Winter,January,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NR2,10:49:00,24.88,33.22,-,1.945,7.84,1/24/20,2020-01-24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,1/24/20,2020.062842,Jan,262209,3887,2153,564415,Run2,Offshore,21.5147,-157.8117167,NA,NA
NRJn0204,NRJn0204,2018,9,Spring,June,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NR2,8:26:00,25.26,34.88,74,2.07,8.05,6/1/18,2018-06-01,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,6/1/18,2018.413699,Jun,10570,97378,7629,968647,Run_Aug2022,Transition,21.5147,-157.8117167,NA,NA
NRJn0224,NRJn0224,2018,10,Spring,June,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NR2,8:09:00,27.12,33.95,93.6,1.755,8.06,6/19/18,2018-06-19,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,6/19/18,2018.463014,Jun,10938,156703,11437,1300818,Run_Aug2022,Coastal,21.5147,-157.8117167,NA,NA
NRJn0505,NRJn0505,2019,20,Spring,June,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NR2,9:33:00,26.61,36.35,-99,2.11,7.72,6/14/19,2019-06-14,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,6/14/19,2019.449315,Jun,4872,56870,4819,977563,Run_Aug2022,Transition,21.5147,-157.8117167,NA,NA
NRJu0835,NRJu0835,2021,36,Summer,June,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NR2,10:27,26.61,34.95,-,2.054,7.96,6/21/21,2021-06-21,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,6/21/21,2021.468493,Jun,15166,146592,11161,1044320,Run2,Coastal,21.5147,-157.8117167,NA,NA
NRJy0252,NRJy0252,2018,11,Summer,July,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NR2,10:30:00,26.46,34.08,83.6,2.92,7.99,7/23/18,2018-07-23,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,7/23/18,2018.556164,Jul,9953,43686,6224,776885,Run_Aug2022,Transition,21.5147,-157.8117167,NA,NA
NRJy0665,NRJy0665,2020,28,Summer,July,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NR2,11:03:00,27.49,33.31,-,1.89,7.73,7/21/20,2020-07-21,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,7/21/20,2020.551913,Jul,30083,96735,11293,1012820,Run2,Transition,21.5147,-157.8117167,NA,NA
NRMa0164,NRMa0164,2018,7,Winter,March,0.5,0.04,2.79,0.22,NA,NA,NA,0.08,NA,NR2,11:56:00,24.05,34.39,83.8,2.071,8.14,3/28/18,2018-03-28,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,3/28/18,2018.235616,Mar,35112,24279,5252,679651,Run_Aug2022,Transition,21.5147,-157.8117167,NA,NA
NRMa0426,NRMa0426,2019,17,Winter,March,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NR2,9:28:00,23.73,35.28,-70,1.775,7.89,3/21/19,2019-03-21,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,3/21/19,2019.216438,Mar,5213,12868,4661,1014645,Run_Aug2022,Coastal,21.5147,-157.8117167,NA,NA
NRMa0625,NRMa0625,2020,26,Winter,March,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NR2,10:53:00,24.03,33.24,-,1.826,7.8,3/20/20,2020-03-20,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,3/20/20,2020.215847,Mar,59666,8364,3716,584715,Run2,Transition,21.5147,-157.8117167,NA,NA
NRMy0184,NRMy0184,2018,8,Spring,May,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NR2,8:19:00,23.99,34.6,102.3,1.89,8.07,5/1/18,2018-05-01,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,5/1/18,2018.328767,May,15757,7432,3283,537261,Run_Aug2022,Transition,21.5147,-157.8117167,NA,NA
NRMy0485,NRMy0485,2019,19,Spring,May,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NR2,9:10:00,25.48,36.61,-99.2,1.86,7.79,5/21/19,2019-05-21,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,5/21/19,2019.383562,May,32262,38867,3375,602888,Run_Aug2022,Transition,21.5147,-157.8117167,NA,NA
NRMy0645,NRMy0645,2020,27,Spring,May,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NR2,10:55:00,25.64,33.36,-,2.077,7.58,5/14/20,2020-05-14,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,5/14/20,2020.36612,May,30792,58892,8666,828292,Run2,Transition,21.5147,-157.8117167,NA,NA
NRMy0815,NRMy0815,2021,35,Spring,May,0.4,0.09,1.92,0.19,NA,NA,NA,0.1,NA,NR2,10:26,25.36,35.06,-,2.069,7.82,5/24/21,2021-05-24,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,5/24/21,2021.391781,May,22887,72298,7550,702210,Run2,Transition,21.5147,-157.8117167,NA,NA
NRNo0082,NRNo0082,2017,3,Fall,November,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NR2,13:45:00,27.03,34.55,107.8,2.19,8.1,11/1/17,2017-11-01,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,11/1/17,2017.832877,Nov,70709,7235,2193,461627,Run_Aug2022,Offshore,21.5147,-157.8117167,NA,NA
NRNo0725,NRNo0725,2020,31,Fall,November,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NR2,10:51,26.27,35.35,-,1.935,8.05,11/16/20,2020-11-16,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,11/16/20,2020.874317,Nov,24331,17372,8653,560450,Run2,Transition,21.5147,-157.8117167,NA,NA
NROc0298,NROc0298,2018,13,Fall,October,0.7,0.04,3.02,0.21,0.08,0.29,7.25,0.07,0.1,NR2,10:26:00,26.86,35.11,-99.9,2.282,7.97,10/11/18,2018-10-11,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,10/11/18,2018.775342,Oct,19801,58445,5305,837431,Run_Aug2022,Transition,21.5147,-157.8117167,NA,NA
